Business Unit,Total Reclaimable Storage (GB),Estimated Cost Savings (USD),Estimated Cost Savings (AED),Carbon Offset (kg CO₂)
AUH,11059.46015625,19907.02828125,73058.7937921875,258.79136765625
BDB,12307.75166015625,22153.95298828125,81305.00746699219,288.00138884765624
DATA,400.0,720.0,2642.3999999999996,9.36
DXB,26.76474609375,48.17654296875,176.8079126953125,0.62629505859375
EXCH,9.205078125,16.569140625,60.808746093749996,0.215398828125
FAL,43942.20537109375,79095.96966796875,290282.2086814453,1028.2476056835937
HDS,817.2568359375,1471.0623046875,5398.798658203124,19.1238099609375
PURE,2.1943359375,3.9498046875,14.495783203124999,0.051347460937500006
ROPS,50.0,90.0,330.29999999999995,1.17
RTFD,0.01171875,0.021093749999999998,0.07741406249999999,0.00027421874999999994
TKG,24.5486328125,44.1875390625,162.168268359375,0.5744380078125
VEEA,2.3330078125,4.1994140625,15.411849609375,0.0545923828125
