Business Unit,Total Reclaimable Storage (GB),Estimated Cost Savings (USD),Estimated Cost Savings (AED),Carbon Offset (kg CO₂)
AUH,11059.46015625,9953.514140625,36529.39689609375,31.05496411875
BDB,12307.75166015625,11076.976494140625,40652.503733496094,34.56016666171875
DATA,400.0,360.0,1321.1999999999998,1.1232
DXB,26.76474609375,24.088271484375,88.40395634765625,0.07515540703125
EXCH,9.205078125,8.2845703125,30.404373046874998,0.025847859375
FAL,43942.20537109375,39547.984833984374,145141.10434072264,123.38971268203125
HDS,817.2568359375,735.53115234375,2699.399329101562,2.2948571953125
PURE,2.1943359375,1.97490234375,7.2478916015624995,0.006161695312500001
ROPS,50.0,45.0,165.14999999999998,0.1404
RTFD,0.01171875,0.010546874999999999,0.038707031249999996,3.290625e-05
TKG,24.5486328125,22.09376953125,81.0841341796875,0.0689325609375
VEEA,2.3330078125,2.09970703125,7.7059248046875,0.0065510859375
